"Coord for FPL Field 18"
"Ident        Name for FPL Field 18 DEP/ DEST/                               Latitude      Longitude                 Served city"
"DEP/ DEST/"
"LP0065   AGUIAR DA BEIRA HELIPORT                  4049N00732W           404903N        0073211W        AGUIAR DA BEIRA"
"LP0078   ALENTEJO AIR PARK ULM                     3728N00844W           372755.90N     0084414.21W     SAO TEOTONIO"
"LP0048   ALQUEIDAO ULM                             3904N00848W           390403N        0084822W        AZAMBUJA"
"LP0049   ATOUGUIA DA BALEIA ULM                    3921N00919W           392053N        0091912W        PENICHE"
"LP0050   AZAMBUJA ULM                              3904N00850W           390333N        0084935W        AZAMBUJA"
"LP0051   BEJA ULM                                  3804N00753W           380337N        0075239W        BEJA"
"LP0052   BENAVENTE ULM                             3855N00847W           385448N        0084709W        BENAVENTE"
"LP0053   CABECEIRAS DE BASTO ULM                   4133N00759W           413319N        0075916W        CABECEIRAS DE BASTO"
"LP0066   CABECO DA VACA ULM                        4021N00659W           402040N        0065848W        SABUGAL"
"LP0054   CAMPINHO ULM                              3822N00728W           382133N        0072757W        CAMPINHO"
"LP0069   CASALINHO - POMBAL ULM                    3953N00839W           395311N        0083856W        POMBAL"
"LP0076   CASARAO ULM                               4033N00824W           403257.1N      0082421.6W      AGUEDA"
"LP0055   CERVAL ULM                                4159N00840W           415830N        0084024W        CERVAL / VILA MEA"
"LP0079   FAIAS ULM                                 3841N00845W           384116N        0084442W        MONTIJO"
"LP0057   HERDADE DA LAMEIRA ULM                    3917N00746W           391640N        0074621W        CUNHEIRA / ALTER DO CHAO"
"LP0058   HERDADE DA ZAMBUJEIRA ULM                 3740N00807W           374015N        0080726W        CASTRO VERDE"
"LP0068   HERDADE DO PONTAL - PEGOES ULM            3843N00837W           384241N        0083636W        PEGOES"
"LP0039   LAGOS HELIPORT                            3707N00841W           370714.8N      0084035.4W      LAGOS"
"LP0059   LAGOS ULM                                 3707N00841W           370719N        0084044W        LAGOS"
"LP0075   LEZIRIAS ULM                              3854N00856W           385408.5N      0085613.4W      VILA FRANCA DE XIRA"
"LP0040   MONCHIQUE HELIPORT                        3719N00833W           371912.4N      0083307.9W      MONCHIQUE"
"LP0061   PALMA ULM                                 3831N00835W           383053N        0083434W        VILA DE PALMA / ALCACER DOS SAL"
"LP0043   PERNES HELIPORT                           3923N00840W           392234.2N      0083941.6W      PERNES"
"LP0080   PIAS LONGAS ULM                           3936N00834W           393552N        0083402W        OUREM"
"LP0035   SANTAREM HOSPITAL                         3915N00842W           391430.5596N   0084151.1273W   SANTAREM"
"LP0062   SAO MIGUEL DE LAUNDOS ULM                 4127N00843W           412655N        0084231W        LAUNDOS / POVOA DE VARZIM"
"LP0063   TOJEIRA ULM                               3853N00926W           385300N        0092539W        SAO JOAO DAS LAMPAS / SINTRA"
"LP0041   TORRES VEDRAS HELIPORT                    3905N00916W           390520.6N      0091547.4W      TORRES VEDRAS"
"LP0071   VALADAS ULM                               3941N00815W           394055N        0081511W        FERREIRA DO ZEZERE"
"LP0064   VALDONAS ULM                              3935N00822W           393527N        0082217W        TOMAR"
"Ident                     Name                                             Latitude       Longitude                 Served city"
"LPAB    ABRANTES HOSPITAL                                               392721.8745N   0081159.3364W   ABRANTES"
"LPAG    ALBERGARIA-A-VELHA                                              404225.5960N   0082929.0067W   ALBERGARIA-A-VELHA"
"LPAF   ALFRAGIDE HELIPORT                                              384403.6N      0091327.9W      ALFRAGIDE"
"LPJB   ALGES HELIPORT                                                  384144N        0091408W"
"LPGO    ALMADA HOSPITAL                                                 384030.2672N   0091038.4957W   ALMADA"
"LPAR    ALVERCA                                                         385308N        0090141W        ALVERCA AND LISBOA"
