src,code,name,lat,lon,alt,routes,remarks,city,sector,source
IFR,ABETO,ABETO,40.4297222,-8.0563889,0,"UN726, UN872",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ABLEG,ABLEG,40.7227778,-8.4311111,0,,"FRA (I), FRA (A): LPPR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ABRAT,ABRAT,39.8216667,-7.6541667,0,UN745,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ABRIL,ABRIL,40.3961111,-8.5802778,0,,NIL / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ABUPI,ABUPI,41.7511111,-7.2361111,0,UN872,"FRA (E): ODD FL, MADRID/LISBOA ACC, Above FL245",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ADINO,ADINO,40.0177778,-6.3736111,0,,"FRA (E): ODD FL, LECM FIR, MADRID/LISBOA ACC Above FL245",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ADNOV,ADNOV,41.5183333,-8.7530556,0,,"FRA (I), Holding Pattern",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ADORO,ADORO,41.4830556,-6.28,0,"A43, UL155","FRA (E): ODD FL, FRA (X): EVEN FL, LISBOA/MADRID FIR BDRY",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ADSAD,ADSAD,38.4780556,-8.9811111,0,,"FRA (I), LISBOA TMA, Holding Pattern",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,AIREZ,AIREZ,39.4547222,-8.6661111,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,AKABO,AKABO,41.3219444,-8.7008333,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,AKUDA,AKUDA,35.9666667,-8.95,0,"W13, UN858, UZ1","FRA (E): EVEN / NORTHBOUND, LISBOA/CASABLANCA FIR BDRY",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,AKULU,AKULU,40.9841667,-8.6119444,0,,FRA (I) / Holding Pattern,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ALAGU,ALAGU,38.0886111,-7.6144444,0,"W13, A44, Z222, UL14, UM744, UZ222","FRA (I), FRA (AD): LPFR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
